time,stamp_secs,stamp_nsecs,mode
2026/06/04 15:16:54.701063139,0,0,4
2026/06/04 15:16:54.721016563,0,0,4
2026/06/04 15:16:54.740881019,0,0,4
2026/06/04 15:16:54.760545419,0,0,4
2026/06/04 15:16:54.780828261,0,0,4
2026/06/04 15:16:54.800940078,0,0,4
2026/06/04 15:16:54.821453636,0,0,4
2026/06/04 15:16:54.841103042,0,0,4
2026/06/04 15:16:54.860581287,0,0,4
2026/06/04 15:16:54.880659504,0,0,4
2026/06/04 15:16:54.900525931,0,0,4
2026/06/04 15:16:54.920830304,0,0,4
2026/06/04 15:16:54.941192979,0,0,4
2026/06/04 15:16:54.960727421,0,0,4
2026/06/04 15:16:54.981339967,0,0,4
2026/06/04 15:16:55.1418590,0,0,4
2026/06/04 15:16:55.20805891,0,0,4
2026/06/04 15:16:55.40803115,0,0,4
2026/06/04 15:16:55.60780990,0,0,4
2026/06/04 15:16:55.80897054,0,0,4
2026/06/04 15:16:55.101005356,0,0,4
2026/06/04 15:16:55.120876008,0,0,4
2026/06/04 15:16:55.140749429,0,0,4
2026/06/04 15:16:55.161058849,0,0,4
2026/06/04 15:16:55.180435373,0,0,4
2026/06/04 15:16:55.200700075,0,0,4
2026/06/04 15:16:55.220588968,0,0,4
2026/06/04 15:16:55.240748006,0,0,4
2026/06/04 15:16:55.261387218,0,0,4
2026/06/04 15:16:55.280995617,0,0,4
2026/06/04 15:16:55.300999991,0,0,4
2026/06/04 15:16:55.320885558,0,0,4
2026/06/04 15:16:55.340436265,0,0,4
2026/06/04 15:16:55.360479618,0,0,4
2026/06/04 15:16:55.380979640,0,0,4
2026/06/04 15:16:55.400699992,0,0,4
2026/06/04 15:16:55.420953094,0,0,4
2026/06/04 15:16:55.440532241,0,0,4
2026/06/04 15:16:55.460666814,0,0,4
2026/06/04 15:16:55.480738770,0,0,4
2026/06/04 15:16:55.500654689,0,0,4
2026/06/04 15:16:55.520758858,0,0,4
2026/06/04 15:16:55.540930525,0,0,4
2026/06/04 15:16:55.560782135,0,0,4
2026/06/04 15:16:55.581130031,0,0,4
2026/06/04 15:16:55.600768888,0,0,4
2026/06/04 15:16:55.620746303,0,0,4
2026/06/04 15:16:55.640662369,0,0,4
2026/06/04 15:16:55.660517189,0,0,4
2026/06/04 15:16:55.680972912,0,0,4
2026/06/04 15:16:55.701113761,0,0,4
2026/06/04 15:16:55.720697214,0,0,4
2026/06/04 15:16:55.741049904,0,0,4
2026/06/04 15:16:55.760819170,0,0,4
2026/06/04 15:16:55.780792259,0,0,4
2026/06/04 15:16:55.800874616,0,0,4
2026/06/04 15:16:55.820804486,0,0,4
2026/06/04 15:16:55.841324666,0,0,4
2026/06/04 15:16:55.861123284,0,0,4
2026/06/04 15:16:55.880626085,0,0,4
2026/06/04 15:16:55.900899193,0,0,4
2026/06/04 15:16:55.920807351,0,0,4
2026/06/04 15:16:55.940897003,0,0,4
2026/06/04 15:16:55.961031131,0,0,4
2026/06/04 15:16:55.980808282,0,0,4
2026/06/04 15:16:56.1286193,0,0,4
2026/06/04 15:16:56.21322111,0,0,4
2026/06/04 15:16:56.41031086,0,0,4
2026/06/04 15:16:56.60757863,0,0,4
2026/06/04 15:16:56.80868319,0,0,4
2026/06/04 15:16:56.101013358,0,0,4
2026/06/04 15:16:56.121442413,0,0,4
2026/06/04 15:16:56.140875555,0,0,4
2026/06/04 15:16:56.160848821,0,0,4
2026/06/04 15:16:56.180697481,0,0,4
2026/06/04 15:16:56.200704469,0,0,4
2026/06/04 15:16:56.220666501,0,0,4
2026/06/04 15:16:56.240751943,0,0,4
2026/06/04 15:16:56.261399870,0,0,4
2026/06/04 15:16:56.280915399,0,0,4
2026/06/04 15:16:56.300648423,0,0,4
2026/06/04 15:16:56.320872361,0,0,4
2026/06/04 15:16:56.340718481,0,0,4
2026/06/04 15:16:56.360791890,0,0,4
2026/06/04 15:16:56.380711191,0,0,4
2026/06/04 15:16:56.400878180,0,0,4
2026/06/04 15:16:56.421289437,0,0,4
2026/06/04 15:16:56.440942433,0,0,4
2026/06/04 15:16:56.460869154,0,0,4
2026/06/04 15:16:56.480613087,0,0,4
2026/06/04 15:16:56.500566474,0,0,4
2026/06/04 15:16:56.520674424,0,0,4
2026/06/04 15:16:56.540722939,0,0,4
2026/06/04 15:16:56.561200345,0,0,4
2026/06/04 15:16:56.581470212,0,0,4
2026/06/04 15:16:56.601037127,0,0,4
2026/06/04 15:16:56.620925335,0,0,4
2026/06/04 15:16:56.640527960,0,0,4
2026/06/04 15:16:56.660909145,0,0,4
2026/06/04 15:16:56.680840615,0,0,4
2026/06/04 15:16:56.700842355,0,0,4
2026/06/04 15:16:56.720762332,0,0,4
2026/06/04 15:16:56.740723690,0,0,4
2026/06/04 15:16:56.760856759,0,0,4
2026/06/04 15:16:56.780750883,0,0,4
2026/06/04 15:16:56.800581322,0,0,4
2026/06/04 15:16:56.820825118,0,0,4
2026/06/04 15:16:56.841108168,0,0,4
2026/06/04 15:16:56.860841191,0,0,4
2026/06/04 15:16:56.880936747,0,0,4
2026/06/04 15:16:56.900822283,0,0,4
2026/06/04 15:16:56.920567623,0,0,4
2026/06/04 15:16:56.940546403,0,0,4
2026/06/04 15:16:56.960657982,0,0,4
2026/06/04 15:16:56.980985539,0,0,4
2026/06/04 15:16:57.921795,0,0,4
2026/06/04 15:16:57.21001766,0,0,4
2026/06/04 15:16:57.40856233,0,0,4
2026/06/04 15:16:57.60624568,0,0,4
2026/06/04 15:16:57.80480971,0,0,4
2026/06/04 15:16:57.100817262,0,0,4
2026/06/04 15:16:57.120803463,0,0,4
2026/06/04 15:16:57.140957217,0,0,4
2026/06/04 15:16:57.161147522,0,0,4
2026/06/04 15:16:57.181218148,0,0,4
2026/06/04 15:16:57.200881286,0,0,4
2026/06/04 15:16:57.220678281,0,0,4
2026/06/04 15:16:57.240668382,0,0,4
2026/06/04 15:16:57.260739048,0,0,4
2026/06/04 15:16:57.280861110,0,0,4
2026/06/04 15:16:57.300975938,0,0,4
2026/06/04 15:16:57.320935837,0,0,4
2026/06/04 15:16:57.340620134,0,0,4
2026/06/04 15:16:57.360510681,0,0,4
2026/06/04 15:16:57.380781634,0,0,4
2026/06/04 15:16:57.400761091,0,0,4
2026/06/04 15:16:57.421036558,0,0,4
2026/06/04 15:16:57.441213240,0,0,4
2026/06/04 15:16:57.460982406,0,0,4
2026/06/04 15:16:57.480975837,0,0,4
2026/06/04 15:16:57.500497855,0,0,4
2026/06/04 15:16:57.520742962,0,0,4
2026/06/04 15:16:57.540639412,0,0,4
2026/06/04 15:16:57.561051553,0,0,4
2026/06/04 15:16:57.581071916,0,0,4
2026/06/04 15:16:57.601225276,0,0,4
2026/06/04 15:16:57.620903784,0,0,4
2026/06/04 15:16:57.640659393,0,0,4
2026/06/04 15:16:57.660494803,0,0,4
2026/06/04 15:16:57.680533639,0,0,4
2026/06/04 15:16:57.700741196,0,0,4
2026/06/04 15:16:57.721056713,0,0,4
2026/06/04 15:16:57.740780270,0,0,4
2026/06/04 15:16:57.760820261,0,0,4
2026/06/04 15:16:57.780649696,0,0,4
2026/06/04 15:16:57.800626015,0,0,4
2026/06/04 15:16:57.820770896,0,0,4
2026/06/04 15:16:57.840774255,0,0,4
2026/06/04 15:16:57.861078399,0,0,4
2026/06/04 15:16:57.880849631,0,0,4
2026/06/04 15:16:57.900731207,0,0,4
