time,header_stamp_secs,header_stamp_nsecs,header_frame_id,status_status,status_service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
2026/06/04 15:16:53.630210555,1780597013,629558419,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:53.732895689,1780597013,732608703,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:53.824412245,1780597013,823910647,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:53.934271537,1780597013,933659841,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:54.31440141,1780597014,31113423,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:54.125033796,1780597014,124434327,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:54.234901950,1780597014,234468132,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:54.332312471,1780597014,332170544,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:54.424990891,1780597014,424571938,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:54.532455449,1780597014,531982653,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:54.636792601,1780597014,636493100,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:54.722408843,1780597014,722001570,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:54.833304057,1780597014,832844186,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:54.923545317,1780597014,923398578,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:55.22965167,1780597015,22747971,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:55.123792828,1780597015,123380247,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:55.234249328,1780597015,233892687,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:55.329912175,1780597015,329786014,obu,0,1,-22.81406,-47.06099,626.933,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:55.432492007,1780597015,432002801,obu,0,1,-22.81406,-47.06099,626.933,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:55.530908883,1780597015,530332067,obu,0,1,-22.81406,-47.06099,626.933,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:55.622059427,1780597015,621933637,obu,0,1,-22.81406,-47.06099,626.933,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:55.733419463,1780597015,733038789,obu,0,1,-22.81406,-47.06099,626.933,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:55.824076280,1780597015,823193369,obu,0,1,-22.81406,-47.06099,626.933,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:55.922411493,1780597015,922213291,obu,0,1,-22.81406,-47.06099,626.933,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:56.24107251,1780597016,23537104,obu,0,1,-22.81406,-47.06099,626.933,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:56.125272769,1780597016,124633428,obu,0,1,-22.81406,-47.06099,626.933,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:56.232868175,1780597016,232734708,obu,0,1,-22.81406,-47.06099,626.933,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:56.339550866,1780597016,339219513,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:56.442830851,1780597016,442418725,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:56.522697764,1780597016,522487873,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:56.631781122,1780597016,631548544,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:56.734549384,1780597016,734122977,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:56.821969831,1780597016,821661651,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:56.921944550,1780597016,921706669,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:57.28190351,1780597017,27730700,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:57.123612424,1780597017,123174442,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:57.234429383,1780597017,234162993,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:57.343481304,1780597017,343156294,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:57.425093145,1780597017,424487821,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:57.524295084,1780597017,524117259,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:57.630370124,1780597017,629861368,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:57.736084422,1780597017,735561648,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:57.823851888,1780597017,823588267,obu,0,1,-22.81406,-47.06099,626.913,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
