time,stamp_secs,stamp_nsecs,mode
2026/06/04 15:15:47.720673270,0,0,4
2026/06/04 15:15:47.741065605,0,0,4
2026/06/04 15:15:47.760627101,0,0,4
2026/06/04 15:15:47.780519022,0,0,4
2026/06/04 15:15:47.800607916,0,0,4
2026/06/04 15:15:47.820732690,0,0,4
2026/06/04 15:15:47.840877949,0,0,4
2026/06/04 15:15:47.861033893,0,0,4
2026/06/04 15:15:47.880714794,0,0,4
2026/06/04 15:15:47.900625194,0,0,4
2026/06/04 15:15:47.920599268,0,0,4
2026/06/04 15:15:47.940474048,0,0,4
2026/06/04 15:15:47.960479298,0,0,4
2026/06/04 15:15:47.980937629,0,0,4
2026/06/04 15:15:48.1066861,0,0,4
2026/06/04 15:15:48.21322577,0,0,4
2026/06/04 15:15:48.40799005,0,0,4
2026/06/04 15:15:48.60462808,0,0,4
2026/06/04 15:15:48.80442377,0,0,4
2026/06/04 15:15:48.100412892,0,0,4
2026/06/04 15:15:48.120832829,0,0,4
2026/06/04 15:15:48.140797240,0,0,4
2026/06/04 15:15:48.160836698,0,0,4
2026/06/04 15:15:48.180613031,0,0,4
2026/06/04 15:15:48.200469249,0,0,4
2026/06/04 15:15:48.220474168,0,0,4
2026/06/04 15:15:48.240359390,0,0,4
2026/06/04 15:15:48.260856172,0,0,4
2026/06/04 15:15:48.280655039,0,0,4
2026/06/04 15:15:48.300729437,0,0,4
2026/06/04 15:15:48.320705678,0,0,4
2026/06/04 15:15:48.340425749,0,0,4
2026/06/04 15:15:48.360573289,0,0,4
2026/06/04 15:15:48.380535828,0,0,4
2026/06/04 15:15:48.400809971,0,0,4
2026/06/04 15:15:48.420974167,0,0,4
2026/06/04 15:15:48.440737085,0,0,4
2026/06/04 15:15:48.460590281,0,0,4
2026/06/04 15:15:48.480727394,0,0,4
2026/06/04 15:15:48.500463444,0,0,4
2026/06/04 15:15:48.520786907,0,0,4
2026/06/04 15:15:48.540544341,0,0,4
2026/06/04 15:15:48.560792614,0,0,4
2026/06/04 15:15:48.581222615,0,0,4
2026/06/04 15:15:48.600703236,0,0,4
2026/06/04 15:15:48.620628349,0,0,4
2026/06/04 15:15:48.640684497,0,0,4
2026/06/04 15:15:48.660704779,0,0,4
2026/06/04 15:15:48.680845622,0,0,4
2026/06/04 15:15:48.701114118,0,0,4
2026/06/04 15:15:48.720970390,0,0,4
2026/06/04 15:15:48.740728203,0,0,4
2026/06/04 15:15:48.760685476,0,0,4
2026/06/04 15:15:48.780532054,0,0,4
2026/06/04 15:15:48.800789336,0,0,4
2026/06/04 15:15:48.820519197,0,0,4
2026/06/04 15:15:48.840699209,0,0,4
2026/06/04 15:15:48.860882617,0,0,4
2026/06/04 15:15:48.881090785,0,0,4
2026/06/04 15:15:48.900913775,0,0,4
2026/06/04 15:15:48.920610812,0,0,4
2026/06/04 15:15:48.940395944,0,0,4
2026/06/04 15:15:48.960558248,0,0,4
2026/06/04 15:15:48.980596030,0,0,4
2026/06/04 15:15:49.936286,0,0,4
2026/06/04 15:15:49.21316835,0,0,4
2026/06/04 15:15:49.41015907,0,0,4
2026/06/04 15:15:49.60641338,0,0,4
2026/06/04 15:15:49.80578586,0,0,4
2026/06/04 15:15:49.100762582,0,0,4
2026/06/04 15:15:49.120825113,0,0,4
2026/06/04 15:15:49.140827659,0,0,4
2026/06/04 15:15:49.160671312,0,0,4
2026/06/04 15:15:49.181000189,0,0,4
2026/06/04 15:15:49.200771867,0,0,4
2026/06/04 15:15:49.220649934,0,0,4
2026/06/04 15:15:49.240488672,0,0,4
2026/06/04 15:15:49.260526258,0,0,4
2026/06/04 15:15:49.281116447,0,0,4
2026/06/04 15:15:49.300866891,0,0,4
2026/06/04 15:15:49.320817254,0,0,4
2026/06/04 15:15:49.340746985,0,0,4
2026/06/04 15:15:49.360470476,0,0,4
2026/06/04 15:15:49.380699970,0,0,4
2026/06/04 15:15:49.400447848,0,0,4
2026/06/04 15:15:49.420563055,0,0,4
2026/06/04 15:15:49.440902967,0,0,4
2026/06/04 15:15:49.460855830,0,0,4
2026/06/04 15:15:49.480894302,0,0,4
2026/06/04 15:15:49.500869722,0,0,4
2026/06/04 15:15:49.520837495,0,0,4
2026/06/04 15:15:49.540545241,0,0,4
2026/06/04 15:15:49.560576001,0,0,4
2026/06/04 15:15:49.581375607,0,0,4
2026/06/04 15:15:49.601286587,0,0,4
2026/06/04 15:15:49.620903629,0,0,4
2026/06/04 15:15:49.640890687,0,0,4
2026/06/04 15:15:49.660745119,0,0,4
2026/06/04 15:15:49.680757743,0,0,4
2026/06/04 15:15:49.700519204,0,0,4
2026/06/04 15:15:49.720847746,0,0,4
2026/06/04 15:15:49.740868373,0,0,4
2026/06/04 15:15:49.760939429,0,0,4
2026/06/04 15:15:49.780698305,0,0,4
2026/06/04 15:15:49.800565552,0,0,4
2026/06/04 15:15:49.820466974,0,0,4
2026/06/04 15:15:49.840490109,0,0,4
2026/06/04 15:15:49.860863900,0,0,4
2026/06/04 15:15:49.880644177,0,0,4
2026/06/04 15:15:49.901364405,0,0,4
2026/06/04 15:15:49.920807365,0,0,4
2026/06/04 15:15:49.940769085,0,0,4
2026/06/04 15:15:49.960513743,0,0,4
2026/06/04 15:15:49.980759441,0,0,4
2026/06/04 15:15:50.649718,0,0,4
2026/06/04 15:15:50.20969820,0,0,4
2026/06/04 15:15:50.40657032,0,0,4
2026/06/04 15:15:50.61023983,0,0,4
2026/06/04 15:15:50.80811826,0,0,4
2026/06/04 15:15:50.100646305,0,0,4
2026/06/04 15:15:50.120936255,0,0,4
2026/06/04 15:15:50.140748864,0,0,4
2026/06/04 15:15:50.160826495,0,0,4
2026/06/04 15:15:50.180662314,0,0,4
2026/06/04 15:15:50.200882390,0,0,4
2026/06/04 15:15:50.221243990,0,0,4
2026/06/04 15:15:50.240501421,0,0,4
2026/06/04 15:15:50.260499417,0,0,4
2026/06/04 15:15:50.280600000,0,0,4
2026/06/04 15:15:50.301334122,0,0,4
2026/06/04 15:15:50.320728108,0,0,4
2026/06/04 15:15:50.340602059,0,0,4
2026/06/04 15:15:50.360976779,0,0,4
2026/06/04 15:15:50.380722679,0,0,4
2026/06/04 15:15:50.400563847,0,0,4
2026/06/04 15:15:50.420575600,0,0,4
2026/06/04 15:15:50.440666913,0,0,4
2026/06/04 15:15:50.461177344,0,0,4
2026/06/04 15:15:50.480921279,0,0,4
2026/06/04 15:15:50.500856428,0,0,4
