time,stamp_secs,stamp_nsecs,level,name,msg,file,function,line
2026/06/04 15:16:10.837190352,1780596970,837030255,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSA,A,3,6,11,12,14,15,19,20,22,24,30,,,3.3,1.4,3.0*0F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:10.838287165,1780596970,838156974,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181610.80,4.368,4.569,0.849,,,,*44",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:10.921983665,1780596970,921803073,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181610.90,04,06,2026,00,00*64",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:10.923230580,1780596970,923150691,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181610.90,2248.9080,S,04703.6547,W,1,32,1.41,634.38,M,-4.165,M,,*7C",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:10.924529947,1780596970,924417060,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181610.90,A,2248.9080,S,04703.6547,W,19.6756,356.354,040626,-21.3,W*5D",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:10.925471417,1780596970,925352140,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSA,A,3,6,11,12,14,15,19,20,22,24,30,,,3.3,1.4,3.0*0F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:10.926353984,1780596970,926232431,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181610.90,4.368,4.569,0.849,,,,*45",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.25113998,1780596971,24880392,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181611.00,04,06,2026,00,00*6C",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.27117998,1780596971,26977554,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181611.00,2248.9074,S,04703.6547,W,1,32,1.41,634.35,M,-4.165,M,,*72",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:11.28710014,1780596971,28573916,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181611.00,A,2248.9074,S,04703.6547,W,19.6756,356.225,040626,-21.3,W*59",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:11.29766759,1780596971,29635952,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSA,A,3,6,11,12,14,15,19,20,22,24,30,,,3.3,1.4,3.0*0F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.30776896,1780596971,30676176,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181611.00,4.368,4.569,0.849,,,,*4D",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
